Model,Feature,Target,Importance
ATL,Kayla McBride,opp_score,0.0
LVA,Brittney Griner,team_score,0.0
LVA,Alanna Smith,opp_score,0.0
DAL,Brittney Griner,team_score,0.0
DAL,Bridget Carleton,opp_score,0.0
DAL,Bridget Carleton,team_score,0.0
DAL,Breanna Stewart,opp_score,0.0
DAL,Breanna Stewart,team_score,0.0
DAL,Azura Stevens,opp_score,0.0
DAL,Azura Stevens,team_score,0.0
DAL,Arike Ogunbowale,team_score,0.0
ATL,Odyssey Sims,team_score,0.0
IND,Rhyne Howard,team_score,0.0
LVA,Napheesa Collier,team_score,0.0
LVA,Ezi Magbegor,opp_score,0.0
CON,Satou Sabally,opp_score,0.0
CON,Satou Sabally,team_score,0.0
CON,Sabrina Ionescu,opp_score,0.0
CON,Sabrina Ionescu,team_score,0.0
IND,Stefanie Dolson,team_score,0.0
IND,Satou Sabally,opp_score,0.0
IND,Satou Sabally,team_score,0.0
IND,Sabrina Ionescu,opp_score,0.0
IND,Sabrina Ionescu,team_score,0.0
IND,Rhyne Howard,opp_score,0.0
LVA,Napheesa Collier,opp_score,0.0
IND,Rebecca Allen,opp_score,0.0
ATL,Kahleah Copper,team_score,0.0
MIN,Brittney Griner,team_score,0.0
LAS,Elizabeth Williams,opp_score,0.0
MIN,Breanna Stewart,opp_score,0.0
MIN,Breanna Stewart,team_score,0.0
MIN,Azura Stevens,opp_score,0.0
MIN,Azura Stevens,team_score,0.0
MIN,Arike Ogunbowale,opp_score,0.0
MIN,Arike Ogunbowale,team_score,0.0
MIN,Angel Reese,opp_score,0.0
LVA,Monique Billings,opp_score,0.0
LVA,Breanna Stewart,opp_score,0.0
LVA,Breanna Stewart,team_score,0.0
LVA,Kayla McBride,opp_score,0.0
LVA,Kayla McBride,team_score,0.0
LVA,Kamilla Cardoso,opp_score,0.0
LVA,Kamilla Cardoso,team_score,0.0
LVA,Kahleah Copper,opp_score,0.0
LVA,Kahleah Copper,team_score,0.0
LVA,Jordan Horston,opp_score,0.0
LVA,Jordan Horston,team_score,0.0
LVA,Jonquel Jones,opp_score,0.0
LVA,Jonquel Jones,team_score,0.0
MIN,Angel Reese,team_score,0.0
LVA,Ezi Magbegor,team_score,0.0
LVA,Elizabeth Williams,opp_score,0.0
LVA,Rhyne Howard,team_score,0.0
LVA,Rebecca Allen,opp_score,0.0
LVA,Rebecca Allen,team_score,0.0
LVA,Odyssey Sims,opp_score,0.0
LVA,Odyssey Sims,team_score,0.0
LVA,Nneka Ogwumike,opp_score,0.0
LVA,Nneka Ogwumike,team_score,0.0
LVA,Natasha Howard,opp_score,0.0
LVA,Natasha Howard,team_score,0.0
LAS,Nneka Ogwumike,team_score,0.0
CON,Odyssey Sims,team_score,0.0
CON,Nneka Ogwumike,opp_score,0.0
CON,Nneka Ogwumike,team_score,0.0
CON,Natasha Howard,opp_score,0.0
MIN,Aaliyah Edwards,team_score,0.0
MIN,A'ja Wilson,opp_score,0.0
IND,Natasha Howard,opp_score,0.0
LAS,Rhyne Howard,team_score,0.0
LAS,Rebecca Allen,opp_score,0.0
LAS,Rebecca Allen,team_score,0.0
LAS,Cheyenne Parker-Tyus,team_score,0.0
LAS,Nneka Ogwumike,opp_score,0.0
CON,Odyssey Sims,opp_score,0.0
LAS,Natasha Howard,opp_score,0.0
LAS,Natasha Howard,team_score,0.0
ATL,Natasha Howard,team_score,0.0
ATL,Napheesa Collier,opp_score,0.0
ATL,Napheesa Collier,team_score,0.0
ATL,Monique Billings,opp_score,0.0
LVA,Bridget Carleton,opp_score,0.0
ATL,Kiah Stokes,opp_score,0.0
ATL,Kiah Stokes,team_score,0.0
ATL,Kelsey Plum,opp_score,0.0
ATL,Kelsey Plum,team_score,0.0
ATL,Elizabeth Williams,opp_score,0.0
MIN,Aari McDonald,opp_score,0.0
MIN,Aari McDonald,team_score,0.0
MIN,Aaliyah Edwards,opp_score,0.0
IND,Rebecca Allen,team_score,0.0
ATL,Jordan Horston,opp_score,0.0
ATL,Jordan Horston,team_score,0.0
ATL,Jonquel Jones,opp_score,0.0
ATL,Jonquel Jones,team_score,0.0
ATL,Jackie Young,opp_score,0.0
ATL,Jackie Young,team_score,0.0
ATL,Ezi Magbegor,opp_score,0.0
ATL,Ezi Magbegor,team_score,0.0
NYL,Jordan Horston,team_score,0.0
IND,Odyssey Sims,opp_score,0.0
IND,Odyssey Sims,team_score,0.0
IND,Nneka Ogwumike,opp_score,0.0
IND,Nneka Ogwumike,team_score,0.0
MIN,A'ja Wilson,team_score,0.0
IND,Natasha Howard,team_score,0.0
IND,Napheesa Collier,opp_score,0.0
CON,Rhyne Howard,opp_score,0.0
CON,Rhyne Howard,team_score,0.0
CON,Rebecca Allen,opp_score,0.0
CON,Rebecca Allen,team_score,0.0
MIN,Diana Taurasi,team_score,0.0
CON,Monique Billings,team_score,0.0
CON,Kiah Stokes,opp_score,0.0
CON,Kiah Stokes,team_score,0.0
CON,Kelsey Plum,opp_score,0.0
CON,Kelsey Plum,team_score,0.0
CON,Kayla McBride,opp_score,0.0
MIN,Odyssey Sims,opp_score,0.0
MIN,Ezi Magbegor,opp_score,0.0
MIN,Ezi Magbegor,team_score,0.0
MIN,Elizabeth Williams,opp_score,0.0
MIN,Elizabeth Williams,team_score,0.0
