team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf
CON,19,2024,7,1,2,PHO,1,83,72,28,59,0.475,5,20,0.25,22,23,0.957,12,37,17,2,3,11,15,26,60,0.433,3,17,0.176,17,18,0.944,2,18,19,5,2,6,20
CON,20,2024,7,4,2,MIN,1,78,73,30,66,0.455,6,15,0.4,12,13,0.923,8,35,23,10,4,14,10,28,62,0.452,13,25,0.52,4,9,0.444,7,28,23,8,4,18,17
CON,21,2024,7,7,1,ATL,1,80,67,28,64,0.438,10,23,0.435,14,19,0.737,11,36,20,4,3,7,14,24,59,0.407,4,10,0.4,15,19,0.789,9,31,16,4,4,10,18
CON,22,2024,7,10,1,NYL,2,68,71,24,67,0.358,6,17,0.353,14,16,0.875,7,35,19,1,2,9,16,28,57,0.491,3,13,0.231,12,16,0.75,1,33,22,5,6,9,17
CON,23,2024,7,14,1,PHO,1,96,69,37,78,0.474,10,26,0.385,12,21,0.571,16,44,26,9,3,7,12,28,69,0.406,7,25,0.28,6,10,0.6,11,33,16,3,8,15,13
CON,24,2024,7,16,2,NYL,2,74,82,28,66,0.424,2,18,0.111,16,22,0.727,8,31,17,11,4,13,15,26,59,0.441,11,27,0.407,19,20,0.95,6,30,19,10,4,18,15
CON,25,2024,8,16,2,DAL,1,109,91,38,66,0.576,11,20,0.55,22,28,0.786,3,26,30,9,3,15,22,29,66,0.439,10,24,0.417,23,32,0.719,15,36,19,12,4,20,23
CON,26,2024,8,18,2,ATL,2,70,82,23,65,0.354,4,16,0.25,20,22,0.909,11,40,16,8,4,17,28,26,63,0.413,5,16,0.313,25,31,0.806,7,34,18,9,0,11,19
CON,27,2024,8,20,1,LAS,1,69,61,28,73,0.384,5,16,0.313,8,17,0.471,10,36,21,12,4,10,14,26,66,0.394,2,19,0.105,7,10,0.7,8,42,15,8,6,21,14
CON,28,2024,8,23,1,CHI,1,82,80,25,68,0.368,6,25,0.24,26,36,0.722,9,30,18,12,6,10,21,29,65,0.446,3,9,0.333,19,22,0.864,10,42,18,7,4,16,23
CON,29,2024,8,24,2,NYL,1,72,64,30,72,0.417,2,13,0.154,10,17,0.588,8,37,20,7,3,9,11,24,65,0.369,7,32,0.219,9,12,0.75,11,44,19,6,7,18,15
CON,30,2024,8,28,2,IND,2,80,84,30,66,0.455,8,24,0.333,12,17,0.706,4,27,19,14,4,14,13,31,66,0.47,13,30,0.433,9,11,0.818,8,35,20,5,5,19,17
CON,31,2024,8,31,2,WAS,1,96,85,30,60,0.5,14,23,0.609,22,22,1.0,5,29,23,10,3,16,15,30,63,0.476,14,30,0.467,11,15,0.733,6,25,23,8,3,16,20
CON,32,2024,9,1,1,SEA,1,93,86,32,59,0.542,3,9,0.333,26,38,0.684,9,32,19,7,7,14,18,30,71,0.423,4,21,0.19,22,24,0.917,9,31,22,9,3,12,25
CON,33,2024,9,3,1,SEA,2,64,71,24,58,0.414,5,15,0.333,11,17,0.647,7,30,18,7,3,15,14,29,62,0.468,3,17,0.176,10,15,0.667,3,31,22,8,8,13,19
CON,34,2024,9,6,1,LVA,2,67,72,25,56,0.446,3,16,0.188,14,17,0.824,5,33,16,10,4,18,19,25,65,0.385,6,20,0.3,16,19,0.842,7,33,17,9,2,14,16
CON,35,2024,9,8,2,LAS,1,79,67,32,69,0.464,6,18,0.333,9,16,0.563,8,33,22,9,5,11,16,22,54,0.407,7,14,0.5,16,20,0.8,4,28,15,5,2,19,20
CON,36,2024,9,10,2,LAS,1,86,66,33,62,0.532,8,21,0.381,12,14,0.857,3,33,24,8,7,13,17,26,67,0.388,6,19,0.316,8,12,0.667,5,27,19,9,0,15,14
CON,37,2024,9,13,2,PHO,1,88,69,33,75,0.44,8,26,0.308,14,17,0.824,8,38,23,2,5,7,14,27,72,0.375,6,33,0.182,9,11,0.818,6,33,19,4,7,7,16
CON,38,2024,9,15,2,LVA,2,71,84,27,64,0.422,6,19,0.316,11,17,0.647,7,34,20,2,3,8,11,35,71,0.493,10,24,0.417,4,6,0.667,4,33,24,5,4,6,14
CON,39,2024,9,17,1,MIN,2,76,78,30,66,0.455,7,20,0.35,9,11,0.818,8,31,21,9,6,16,13,30,64,0.469,6,14,0.429,12,13,0.923,6,31,22,7,7,13,12
CON,40,2024,9,19,1,CHI,1,87,54,35,70,0.5,6,14,0.429,11,13,0.846,9,37,24,7,9,10,11,21,62,0.339,6,21,0.286,6,9,0.667,6,24,16,5,10,15,19
DAL,1,2024,5,15,1,CHI,1,87,79,37,82,0.451,5,15,0.333,8,10,0.8,15,42,18,7,12,15,20,29,74,0.392,5,17,0.294,16,27,0.593,16,37,14,9,3,12,19
