team,year,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,day,month
LVA,2020,@,SEA,W,86,84,30,69,.435,8,19,.421,18,27,.667,8,37,25,4,4,9,19,30,73,.411,9,21,.429,15,20,.750,9,35,19,5,4,11,19,13.0,9.0
ATL,2021,,CON,L,67,78,23,64,.359,3,18,.167,18,21,.857,8,26,14,14,7,13,17,27,61,.443,10,23,.435,14,22,.636,12,42,20,7,4,20,21,14.0,5.0
ATL,2021,,CHI,L,77,85,30,77,.390,5,15,.333,12,24,.500,12,35,16,17,7,18,28,28,70,.400,1,13,.077,28,36,.778,14,47,18,8,6,24,21,19.0,5.0
ATL,2021,@,IND,W,83,79,30,75,.400,11,22,.500,12,16,.750,11,27,20,7,6,5,19,31,67,.463,6,18,.333,11,13,.846,6,34,20,0,4,16,16,21.0,5.0
ATL,2021,@,CHI,W,90,83,31,74,.419,8,18,.444,20,25,.800,15,32,17,11,6,10,21,25,62,.403,6,17,.353,27,28,.964,13,41,22,5,5,21,22,25.0,5.0
ATL,2021,,DAL,W,101,95,36,75,.480,6,20,.300,23,33,.697,14,45,19,5,3,11,20,30,66,.455,10,25,.400,25,30,.833,7,32,17,8,3,10,26,27.0,5.0
ATL,2021,@,NYL,W,90,87,40,87,.460,6,21,.286,4,8,.500,10,45,21,11,8,17,19,27,69,.391,14,34,.412,19,21,.905,4,36,23,9,3,20,9,29.0,5.0
ATL,2021,@,MIN,L,84,86,30,70,.429,12,29,.414,12,20,.600,7,32,20,9,2,18,25,30,57,.526,8,21,.381,18,24,.750,5,31,20,9,3,20,21,4.0,6.0
ATL,2021,@,MIN,L,80,100,28,64,.438,10,25,.400,14,19,.737,13,33,16,7,1,18,22,35,68,.515,11,25,.440,19,24,.792,10,32,26,12,1,10,20,6.0,6.0
ATL,2021,,SEA,L,71,95,29,82,.354,3,26,.115,10,13,.769,16,42,18,9,2,12,18,35,64,.547,12,22,.545,13,16,.813,3,32,27,7,9,12,16,9.0,6.0
ATL,2021,,SEA,L,75,86,26,72,.361,4,18,.222,19,22,.864,8,33,14,4,2,5,15,31,61,.508,10,21,.476,14,16,.875,5,41,22,1,0,12,20,11.0,6.0
ATL,2021,,WAS,W,101,78,36,71,.507,13,29,.448,16,21,.762,10,33,20,10,2,13,22,23,61,.377,11,27,.407,21,26,.808,12,33,15,8,4,17,19,13.0,6.0
ATL,2021,@,WAS,L,93,96,34,70,.486,8,21,.381,17,21,.810,8,37,23,14,6,13,17,33,67,.493,13,31,.419,17,20,.850,5,31,22,7,1,15,17,17.0,6.0
