Model,Feature,Target,Importance
NYL,Marina Mabrey,team_score,0.0
MIN,A'ja Wilson,team_score,0.0
MIN,A'ja Wilson,opp_score,0.0
NYL,Monique Billings,opp_score,0.0
NYL,Myisha Hines-Allen,team_score,0.0
NYL,Myisha Hines-Allen,opp_score,0.0
MIN,Chennedy Carter,team_score,0.0
MIN,Brittney Griner,opp_score,0.0
MIN,Caitlin Clark,team_score,0.0
MIN,Caitlin Clark,opp_score,0.0
MIN,Cameron Brink,team_score,0.0
NYL,Cheyenne Parker-Tyus,opp_score,0.0
MIN,Aaliyah Edwards,team_score,0.0
MIN,Aaliyah Edwards,opp_score,0.0
MIN,Aari McDonald,team_score,0.0
MIN,Aari McDonald,opp_score,0.0
NYL,Teaira McCowan,opp_score,0.0
MIN,Aliyah Boston,team_score,0.0
MIN,Aliyah Boston,opp_score,0.0
MIN,Allisha Gray,team_score,0.0
MIN,Allisha Gray,opp_score,0.0
MIN,Alysha Clark,team_score,0.0
MIN,Alysha Clark,opp_score,0.0
MIN,Alyssa Thomas,team_score,0.0
MIN,Alyssa Thomas,opp_score,0.0
MIN,Angel Reese,team_score,0.0
LAS,Teaira McCowan,team_score,0.0
PHO,Angel Reese,team_score,0.0
PHO,Angel Reese,opp_score,0.0
PHO,Ariel Atkins,team_score,0.0
PHO,Ariel Atkins,opp_score,0.0
PHO,Arike Ogunbowale,team_score,0.0
PHO,Arike Ogunbowale,opp_score,0.0
LAS,Sophie Cunningham,team_score,0.0
LAS,Sophie Cunningham,opp_score,0.0
LAS,Stefanie Dolson,team_score,0.0
LAS,Stefanie Dolson,opp_score,0.0
PHO,Alyssa Thomas,opp_score,0.0
LAS,Teaira McCowan,opp_score,0.0
LAS,Temi Fagbenle,team_score,0.0
LAS,Temi Fagbenle,opp_score,0.0
LAS,Tina Charles,team_score,0.0
LAS,Tina Charles,opp_score,0.0
PHO,Caitlin Clark,team_score,0.0
PHO,Caitlin Clark,opp_score,0.0
PHO,Cameron Brink,team_score,0.0
PHO,Cameron Brink,opp_score,0.0
PHO,Alanna Smith,opp_score,0.0
PHO,Brionna Jones,team_score,0.0
PHO,Brionna Jones,opp_score,0.0
PHO,A'ja Wilson,team_score,0.0
PHO,A'ja Wilson,opp_score,0.0
PHO,Aaliyah Edwards,team_score,0.0
PHO,Aaliyah Edwards,opp_score,0.0
PHO,Aari McDonald,team_score,0.0
PHO,Aari McDonald,opp_score,0.0
PHO,Alanna Smith,team_score,0.0
PHO,Chelsea Gray,team_score,0.0
PHO,Chennedy Carter,team_score,0.0
PHO,Chennedy Carter,opp_score,0.0
PHO,Cheyenne Parker-Tyus,team_score,0.0
PHO,Cheyenne Parker-Tyus,opp_score,0.0
PHO,DeWanna Bonner,team_score,0.0
PHO,DeWanna Bonner,opp_score,0.0
PHO,Dearica Hamby,team_score,0.0
PHO,Dearica Hamby,opp_score,0.0
MIN,Kelsey Mitchell,opp_score,0.0
LAS,Satou Sabally,opp_score,0.0
LAS,Rebecca Allen,team_score,0.0
LAS,Rebecca Allen,opp_score,0.0
LAS,Rhyne Howard,team_score,0.0
LAS,Rhyne Howard,opp_score,0.0
LAS,Rickea Jackson,team_score,0.0
LAS,Rickea Jackson,opp_score,0.0
LAS,Sabrina Ionescu,team_score,0.0
LAS,Sabrina Ionescu,opp_score,0.0
LAS,Satou Sabally,team_score,0.0
MIN,Kamilla Cardoso,opp_score,0.0
LAS,Shatori Walker-Kimbrough,team_score,0.0
LAS,Shatori Walker-Kimbrough,opp_score,0.0
LAS,Skylar Diggins-Smith,team_score,0.0
LAS,Leonie Fiebich,team_score,0.0
LAS,Leonie Fiebich,opp_score,0.0
LAS,Marina Mabrey,team_score,0.0
LAS,Marina Mabrey,opp_score,0.0
LAS,Monique Billings,team_score,0.0
LAS,Monique Billings,opp_score,0.0
PHO,Jordan Horston,team_score,0.0
PHO,Chelsea Gray,opp_score,0.0
PHO,Elizabeth Williams,team_score,0.0
PHO,Elizabeth Williams,opp_score,0.0
PHO,Ezi Magbegor,team_score,0.0
PHO,Ezi Magbegor,opp_score,0.0
PHO,Jackie Young,team_score,0.0
PHO,Jackie Young,opp_score,0.0
PHO,Jonquel Jones,team_score,0.0
PHO,Jonquel Jones,opp_score,0.0
PHO,Bridget Carleton,opp_score,0.0
PHO,Jordan Horston,opp_score,0.0
PHO,Kahleah Copper,team_score,0.0
MIN,Kelsey Mitchell,team_score,0.0
PHO,Kamilla Cardoso,team_score,0.0
PHO,Kamilla Cardoso,opp_score,0.0
PHO,Kayla McBride,team_score,0.0
LAS,Skylar Diggins-Smith,opp_score,0.0
LAS,Nneka Ogwumike,team_score,0.0
LAS,Nneka Ogwumike,opp_score,0.0
LVA,Brionna Jones,team_score,0.0
LVA,Jonquel Jones,team_score,0.0
LVA,Jonquel Jones,opp_score,0.0
LVA,Jordan Horston,team_score,0.0
LVA,Jordan Horston,opp_score,0.0
LVA,Kahleah Copper,team_score,0.0
LVA,Kahleah Copper,opp_score,0.0
LVA,Kamilla Cardoso,team_score,0.0
LVA,Bridget Carleton,team_score,0.0
LVA,Bridget Carleton,opp_score,0.0
MIN,Kelsey Plum,team_score,0.0
LVA,Brionna Jones,opp_score,0.0
LVA,Brittney Griner,team_score,0.0
LVA,Brittney Griner,opp_score,0.0
LVA,Caitlin Clark,team_score,0.0
